Wailing Wall,31.7767189,35.2345085
Loch Ness,57.3228575,-4.4243818
Sydney Harbor Bridge,-33.8523063,151.2107871
Sistine Chapel,41.9029468,12.4544835
Mecca,21.3890824,39.8579118
Bridge of Sighs,45.43404959999999,12.3408544
Mount Etna,37.751005,14.9934349
"Lascaux Caves, France",45.053919,1.167651
Bryce Canyon National Park,37.5930377,-112.1870895
Great Buddha,35.3166995,139.5361536
Spanish Steps,41.90599,12.482775
"Freedom Tower, Ground Zero",40.7127431,-74.0133795
Gateway Arch,38.624691,-90.1847763
Shanghai World Finacial Center,31.2345644,121.5074394
Redwood National Park,41.2131788,-124.0046275
Moulin Rouge,48.8841232,2.3322519
Mill Complex at Kinderdijk,51.8883468,4.636879500000001
Kronborg Castle,56.0390142,12.6211552
Santorini,36.3931562,25.4615092
Helsinki Cathedral,60.1704191,24.9521651
Berlin Cathedral,52.5190608,13.401078
Brighton Pier,50.8168555,-0.136738
Tivoli Gardens,55.6736841,12.5681471
"Papel Palace, Avignon",43.9508521,4.8076971
Disneyland Paris,48.8722344,2.7758079
"Tsarskoye Selo (Catherine Palace), St Petersburg, Russia",59.716123,30.3956531
"Bath, England",51.375801,-2.3599039
Juliet's Balcony,51.1945054,-0.0519706
Giant's Causeway,55.2408073,-6.5115554
Bran Castle,45.51490219999999,25.3671637
Portofino,44.3031559,9.2097879
"Atomium, Brussels",50.894941,4.341546999999999
Chapel Bridge,47.0516489,8.307535099999999
Guggenheim Museum (Bilbao),43.2686712,-2.9340118
"Piazza Del Campo, Siena",43.31842049999999,11.3316911
Hollywood Walk of Fame,34.1016992,-118.3336771
Death Valley,36.5053891,-117.0794078
British Museum,51.5194133,-0.1269566
Amalienborg Palace,55.6840588,12.5930201
Blue Lagoon,63.880391,-22.4495089
Oxford University,51.7548164,-1.2543668
"Blue Mosque, Istanbul",41.0054096,28.9768138
"Millau Bridge, France",44.0774541,3.0228388
Piccadilly Circus,51.5100913,-0.1345676
Carcassonne,43.212161,2.353663
Osaka Castle,34.6873153,135.5262013
Bodiam Castle,51.002266,0.543549
Matsumoto Castle,36.23866599999999,137.9690221
Drottningholm Palace,59.32169349999999,17.8868253
Lover's Bridge,38.7869313,-76.2221902
Charles Bridge,50.0864771,14.4114366
Pont D'avignon,43.9538522,4.8048781
"D-Day Beaches, American Cemetary",49.3586702,-0.8514512
"Oresund Bridge, Copenhagen",55.5706287,12.8486371
Roskilde Cathedral,55.64263769999999,12.0804491
Big Sur,36.3614749,-121.856261
Sequoia National Park,36.4863668,-118.5657516
Torres Del Paine National Park,-50.9423262,-73.4067879
"Rock-Hewn Churches, Lalibela",12.0308987,39.0476298
Carnac,47.58469299999999,-3.077786
Krakow - Wawel Cathedral,50.0546371,19.9354684
"Ollantaytambo, Peru",-13.2583689,-72.2642679
"Grand Teton National Park, Wyoming",43.7904282,-110.6817627
Guggenheim (New York City),40.7829796,-73.9589706
Church in the Rock,60.17299499999999,24.925234
"Masai Mara, Kenya",-1.4065513,34.906551
"Lago Di Garda, Italy",45.6049385,10.6351414
Pienza,43.0774495,11.6775951
San Diego Zoo,32.735316,-117.149046
Arches National Park,38.733081,-109.5925139
Milford Sound,-44.6414024,167.8973801
"Serengeti National Park, Tanzania",-2.3333333,34.8333333
Angel Falls,5.967518000000001,-62.53556099999999
"Tallinn Town Hall Square, Estonia",59.4369933,24.7453731
Bryggen,60.3975672,5.3245493
Van Gogh Museum,52.3584159,4.8810756
Cambridge University,52.2042666,0.1149085
Okavango Delta,-19.6510095,22.9058802
"Monte Fitz Roy, El Chalten, Argentina/Chile",-49.271246,-73.04322599999999
Hoover Dam,36.0160655,-114.7377325
Banff National Park,51.4968464,-115.9280562
"Winslow, AZ - Meteor Barringer Crater",35.0275441,-111.0221236
Teotihuacan,19.685267,-98.8721186
The Panama Canal,9.1438034,-79.7285161
Carlsbad Caverns National Park,32.1478553,-104.5567138
Mezquita of Cordoba,37.8789056,-4.7793869
Chartres Cathedral,48.4478026,1.4878371
Chateau De Chambord,47.616126,1.517218
Delphi,40.5875371,-86.6750059
Valley of the Kings,25.7401643,32.601411
Jerusalem Old City,31.7776563,35.2324593
The Aswan High Dam,23.970883,32.8772699
Ngorongoro Crater,-3.1617522,35.5876697
Golden Temple - Darbar Sahib - Harmandir Sahib,31.61998029999999,74.8764849
Lake Baikal,53.5587003,108.1649965
"Borobudur Temple, Java",-7.6078738,110.2037513
Zhangjiajie China,29.117096,110.479191
Banaue Rice Terraces,16.9239537,121.0556401
"Komodo Island, Indonesia",-8.5850461,119.4411476
Victoria Falls,-17.9243527,25.8558941
Green Park,38.5272728,-90.3145273
